Wed Jun 09 19:00:57 2021

21.06.02-03_007.top image. S05

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): 50; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 50.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (8.3,9.9)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   
   133.9     0.086    0.090    0.089    0.180    0.229    0.003    0.016    0.006    0.084    0.109   45.730   45.740   45.729   45.726   45.731   45.740   45.733   45.737   45.736   45.735  
   139.9     0.082    0.096    0.095    0.202    0.218    0.002    0.018    0.010    0.084    0.118   45.730   45.742   45.730   45.728   45.736   45.742   45.734   45.736   45.735   45.732  
   145.8     0.079    0.108    0.095    0.205    0.248    0.004    0.019    0.011    0.103    0.122   45.733   45.741   45.731   45.728   45.736   45.735   45.733   45.735   45.735   45.736  
   151.8     0.095    0.114    0.108    0.214    0.259    0.010    0.021    0.012    0.114    0.124   45.732   45.740   45.732   45.730   45.736   45.732   45.732   45.735   45.736   45.735  
   157.8     0.094    0.118    0.113    0.235    0.276    0.008    0.021    0.012    0.119    0.143   45.733   45.741   45.731   45.729   45.737   45.735   45.733   45.734   45.734   45.735  
   163.8     0.084    0.119    0.124    0.235    0.274    0.012    0.024    0.014    0.115    0.161   45.735   45.744   45.730   45.732   45.737   45.733   45.735   45.734   45.737   45.737  
   169.8     0.083    0.130    0.137    0.239    0.286    0.011    0.031    0.018    0.125    0.169   45.731   45.737   45.724   45.727   45.732   45.727   45.728   45.727   45.731   45.729  
   175.7     0.082    0.136    0.138    0.260    0.316    0.010    0.035    0.024    0.132    0.194   45.730   45.739   45.726   45.727   45.734   45.728   45.731   45.730   45.730   45.732  
   181.7     0.084    0.139    0.152    0.284    0.343    0.012    0.035    0.027    0.133    0.187   45.728   45.738   45.728   45.730   45.735   45.729   45.729   45.731   45.733   45.729  
   187.7     0.094    0.148    0.151    0.332    0.350    0.015    0.038    0.031    0.145    0.181   45.727   45.739   45.729   45.729   45.738   45.732   45.730   45.730   45.733   45.731  
