Wed Jun 09 19:48:37 2021

21.06.02-03_009.top image. S01

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): -50; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 30.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (11.6,10.8)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   
    56.1     0.070    0.117    0.748    0.202    0.317    0.004    0.029    0.123    0.030    0.063   45.716   45.718   45.724   45.715   45.717   45.726   45.715   45.721   45.719   45.716  
    62.1     0.086    0.114    0.936    0.221    0.359    0.008    0.030    0.149    0.036    0.077   45.717   45.717   45.724   45.715   45.717   45.721   45.716   45.721   45.718   45.714  
    68.1     0.104    0.139    1.064    0.266    0.378    0.009    0.031    0.170    0.046    0.083   45.719   45.717   45.723   45.715   45.714   45.721   45.717   45.721   45.719   45.714  
    74.1     0.103    0.153    1.146    0.293    0.369    0.013    0.038    0.186    0.054    0.086   45.719   45.718   45.724   45.716   45.715   45.721   45.717   45.721   45.718   45.714  
    80.1     0.108    0.162    1.243    0.307    0.436    0.019    0.049    0.188    0.062    0.104   45.718   45.717   45.723   45.716   45.715   45.720   45.715   45.719   45.720   45.714  
    86.0     0.099    0.164    1.430    0.305    0.435    0.022    0.054    0.211    0.068    0.116   45.714   45.714   45.718   45.712   45.713   45.719   45.715   45.717   45.717   45.714  
    92.0     0.094    0.170    1.409    0.327    0.427    0.024    0.060    0.256    0.085    0.133   45.716   45.714   45.720   45.715   45.715   45.720   45.717   45.721   45.718   45.714  
    98.0     0.110    0.211    1.419    0.379    0.493    0.030    0.069    0.303    0.092    0.139   45.717   45.715   45.722   45.714   45.716   45.718   45.719   45.722   45.717   45.717  
   104.0     0.128    0.231    1.467    0.390    0.547    0.031    0.077    0.308    0.093    0.149   45.720   45.716   45.725   45.714   45.717   45.717   45.720   45.722   45.718   45.716  
   110.0     0.176    0.232    1.573    0.412    0.578    0.030    0.077    0.335    0.105    0.172   45.720   45.717   45.727   45.715   45.718   45.718   45.720   45.722   45.718   45.717  
   115.9     0.165    0.239    1.734    0.441    0.548    0.027    0.085    0.356    0.125    0.177   45.719   45.718   45.729   45.719   45.719   45.723   45.718   45.723   45.719   45.719  
   121.9     0.160    0.266    1.808    0.454    0.586    0.039    0.101    0.401    0.134    0.189   45.722   45.721   45.731   45.719   45.719   45.727   45.720   45.723   45.719   45.718  
   127.9     0.187    0.276    1.673    0.497    0.716    0.043    0.118    0.453    0.138    0.187   45.720   45.718   45.726   45.714   45.717   45.721   45.719   45.722   45.718   45.716  
   133.9     0.198    0.287    1.786    0.539    0.904    0.049    0.133    0.480    0.151    0.209   45.719   45.717   45.727   45.717   45.718   45.720   45.718   45.724   45.721   45.717  
   139.9     0.300    0.309    1.913    0.572    0.680    0.050    0.124    0.522    0.160    0.231   45.718   45.716   45.726   45.718   45.718   45.721   45.721   45.725   45.723   45.717  
   145.8     0.339    0.336    2.131    0.603    0.685    0.070    0.142    0.591    0.174    0.261   45.718   45.718   45.726   45.717   45.719   45.721   45.720   45.722   45.721   45.720  
   151.8     0.290    0.344    2.223    0.634    0.777    0.082    0.170    0.687    0.202    0.269   45.719   45.719   45.724   45.718   45.719   45.721   45.721   45.724   45.721   45.720  
   157.8     0.321    0.367    2.397    0.685    0.803    0.082    0.178    0.665    0.224    0.271   45.719   45.718   45.726   45.716   45.721   45.722   45.719   45.727   45.722   45.721  
   163.8     0.368    0.412    2.399    0.725    0.911    0.071    0.120    0.724    0.254    0.324   45.721   45.720   45.725   45.717   45.723   45.723   45.720   45.726   45.721   45.722  
   169.8     0.385    0.422    2.462    0.698    1.132    0.079    0.164    0.703    0.254    0.321   45.716   45.715   45.722   45.714   45.716   45.716   45.713   45.720   45.717   45.716  
   175.7     0.392    0.449    2.733    0.664    0.971    0.084    0.177    0.740    0.257    0.350   45.718   45.717   45.723   45.714   45.718   45.717   45.715   45.719   45.718   45.717  
   181.7     0.402    0.440    2.990    0.863    0.999    0.101    0.178    0.786    0.293    0.421   45.720   45.717   45.720   45.717   45.717   45.719   45.713   45.720   45.717   45.717  
   187.7     0.427    0.473    3.082    0.899    1.018    0.112    0.203    0.873    0.315    0.434   45.718   45.720   45.720   45.719   45.716   45.719   45.716   45.723   45.718   45.718  
   193.7     0.468    0.484    3.365    0.956    1.039    0.122    0.253    0.948    0.334    0.531   45.718   45.718   45.721   45.719   45.715   45.721   45.717   45.723   45.716   45.717  
